iter	Passed	Remaining
861	138619	22192
862	138771	22029
863	138935	21869
864	139131	21714
865	139277	21550
866	139425	21388
867	139591	21228
868	139737	21065
869	139875	20900
870	140035	20740
871	140187	20577
872	140352	20417
873	140505	20255
874	140653	20093
875	140817	19933
876	140955	19769
877	141094	19605
878	141272	19447
879	141434	19286
880	141588	19124
881	141750	18964
882	141885	18800
883	142025	18636
884	142195	18477
885	142346	18315
886	142494	18153
887	142669	17994
888	142814	17831
889	142947	17667
890	143118	17508
891	143270	17346
892	143405	17182
893	143562	17021
894	143715	16860
895	143862	16698
896	144042	16539
897	144183	16377
898	144329	16214
899	144500	16055
900	144655	15894
901	144806	15732
902	144980	15573
903	145130	15412
904	145276	15249
905	145435	15089
906	145584	14927
907	145729	14765
908	145900	14606
909	146038	14443
910	146186	14281
911	146384	14124
912	146529	13962
913	146671	13800
914	146837	13640
915	146975	13478
916	147114	13315
917	147288	13156
918	147438	12995
919	147585	12833
920	147752	12673
921	147901	12512
922	148035	12349
923	148201	12189
924	148333	12027
925	148468	11864
926	148654	11706
927	148807	11545
928	148957	11384
929	149119	11224
930	149261	11062
931	149409	10901
932	149596	10742
933	149739	10581
934	149879	10419
935	150043	10259
936	150179	10097
937	150314	9935
938	150471	9775
939	150615	9613
940	150748	9451
941	150928	9292
942	151078	9132
943	151247	8972
944	151420	8812
945	151553	8651
946	151696	8489
947	151869	8330
948	152025	8169
949	152175	8009
950	152347	7849
951	152483	7688
952	152640	7527
953	152821	7368
954	152976	7208
955	153119	7047
956	153290	6887
957	153425	6726
958	153571	6565
959	153745	6406
960	153883	6244
961	154020	6083
962	154191	5924
963	154328	5763
964	154461	5602
965	154627	5442
966	154778	5281
967	154920	5121
968	155121	4962
969	155274	4802
970	155419	4641
971	155579	4481
972	155706	4320
973	155850	4160
974	156023	4000
975	156185	3840
976	156342	3680
977	156501	3520
978	156634	3359
979	156777	3199
980	156945	3039
981	157082	2879
982	157220	2718
983	157383	2559
984	157535	2399
985	157670	2238
986	157843	2078
987	157981	1918
988	158114	1758
989	158272	1598
990	158423	1438
991	158584	1278
992	158770	1119
993	158902	959
994	159047	799
995	159218	639
996	159360	479
997	159501	319
998	159673	159
999	159824	0
