iter	Passed	Remaining
630	111548	65231
631	111817	65109
632	112054	64966
633	112313	64836
634	112582	64712
635	112767	64539
636	112992	64389
637	113242	64253
638	113461	64099
639	113691	63951
640	114030	63863
641	114291	63732
642	114536	63591
643	114873	63501
644	115176	63391
645	115437	63258
646	115713	63132
647	115965	62993
648	116229	62860
649	116458	62708
650	116662	62542
651	116875	62381
652	117071	62210
653	117268	62041
654	117485	61881
655	117739	61741
656	117954	61580
657	118160	61414
658	118418	61275
659	118612	61103
660	118804	60929
661	119014	60765
662	119187	60582
663	119363	60401
664	119546	60222
665	119749	60054
666	120033	59926
667	120286	59783
668	120501	59620
669	120698	59448
670	120920	59289
671	121161	59138
672	121378	58975
673	121613	58822
674	121843	58665
675	122074	58508
676	122373	58384
677	122685	58266
678	122897	58100
679	123154	57955
680	123384	57797
681	123619	57640
682	123885	57498
683	124119	57341
684	124358	57186
685	124601	57033
686	124883	56897
687	125164	56760
688	125476	56637
689	125711	56479
690	125903	56301
691	126122	56135
692	126315	55958
693	126517	55784
694	126771	55633
695	126995	55469
696	127217	55304
697	127447	55141
698	127712	54994
699	127943	54832
700	128221	54690
701	128490	54544
702	128845	54433
703	129157	54304
704	129394	54143
705	129599	53969
706	129838	53808
707	130015	53622
708	130263	53465
709	130496	53301
710	130693	53122
711	130897	52947
712	131152	52792
713	131345	52611
714	131538	52431
715	131780	52270
716	131968	52088
717	132152	51903
718	132382	51737
719	132566	51553
720	132776	51379
721	133041	51226
722	133252	51052
723	133424	50863
724	133683	50707
725	133884	50529
726	134088	50352
727	134302	50178
728	134485	49993
729	134661	49806
730	134870	49630
731	135065	49450
732	135295	49282
733	135532	49116
734	135745	48942
735	136021	48790
736	136299	48638
737	136507	48462
738	136790	48311
739	136996	48133
740	137238	47968
741	137481	47803
742	137690	47626
743	137932	47460
744	138196	47302
745	138385	47117
746	138583	46936
747	138798	46760
748	138995	46579
749	139172	46390
750	139394	46217
751	139594	46036
752	139784	45852
753	139984	45671
754	140178	45488
755	140383	45308
756	140646	45148
757	140855	44969
758	141045	44785
759	141270	44611
760	141457	44426
761	141642	44239
762	141927	44084
763	142119	43900
764	142337	43724
765	142557	43548
766	142760	43367
767	142983	43192
768	143226	43023
769	143415	42838
770	143610	42654
771	143813	42473
